contract_id,contract_version,symbol,trading_date,leg,reference_session,reference_valid,reason_code,efficiency_ratio,session_type,sweep_evaluated,sweep_qualified,setup_type,entry_engine,direction,entry_status,ticket_status,fill_status,result_status,sweep_candidate_index,sweep_candidate_time,sweep_side,sweep_prior_level,sweep_extreme,sweep_close
SESSION_FLOW_V2_SIMPLE,2.1-simple,EURUSD,2022-10-21,POST_LONDON,LONDON,True,CLASSIFIED,0.1541850220264264,RANGE,True,True,SWEEP,ENTRY_2,LONG,SWEEP_ENTRY_SPEC_BLOCKED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_CALCULATED,8,2022-10-21T09:00:00+00:00,LOW,0.97529,0.97528,0.97555
SESSION_FLOW_V2_SIMPLE,2.1-simple,GBPUSD,2022-10-03,POST_ASIAN,ASIAN,True,CLASSIFIED,0.15218312844425672,RANGE,True,True,SWEEP,ENTRY_2,SHORT,SWEEP_ENTRY_SPEC_BLOCKED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_CALCULATED,2,2022-10-03T00:30:00+00:00,HIGH,1.11356,1.11381,1.11338
SESSION_FLOW_V2_SIMPLE,2.1-simple,GBPUSD,2022-10-03,POST_LONDON,LONDON,True,CLASSIFIED,0.13703703703702835,RANGE,True,True,SWEEP,ENTRY_2,SHORT,SWEEP_ENTRY_SPEC_BLOCKED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_CALCULATED,2,2022-10-03T07:30:00+00:00,HIGH,1.12133,1.12179,1.11899
SESSION_FLOW_V2_SIMPLE,2.1-simple,GBPUSD,2022-10-04,POST_ASIAN,ASIAN,True,CLASSIFIED,0.18073878627967765,RANGE,True,True,SWEEP,ENTRY_2,LONG,SWEEP_ENTRY_SPEC_BLOCKED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_CALCULATED,3,2022-10-04T00:45:00+00:00,LOW,1.13167,1.13162,1.133
SESSION_FLOW_V2_SIMPLE,2.1-simple,GBPUSD,2022-10-04,POST_LONDON,LONDON,True,CLASSIFIED,0.131444178900652,RANGE,True,True,SWEEP,ENTRY_2,LONG,SWEEP_ENTRY_SPEC_BLOCKED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_CALCULATED,7,2022-10-04T08:45:00+00:00,LOW,1.13579,1.13574,1.13793
SESSION_FLOW_V2_SIMPLE,2.1-simple,GBPUSD,2022-10-05,POST_ASIAN,ASIAN,True,CLASSIFIED,0.16336448598131026,RANGE,True,True,SWEEP,ENTRY_2,LONG,SWEEP_ENTRY_SPEC_BLOCKED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_CALCULATED,1,2022-10-05T00:15:00+00:00,LOW,1.14477,1.1442,1.1451
SESSION_FLOW_V2_SIMPLE,2.1-simple,GBPUSD,2022-10-05,POST_LONDON,LONDON,True,CLASSIFIED,0.481276005547858,TREND,False,,TREND,ENTRY_1,SHORT,ENTRY_1_CONTRACT_INCOMPLETE,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_CALCULATED,,,,,,
SESSION_FLOW_V2_SIMPLE,2.1-simple,GBPUSD,2022-10-06,POST_ASIAN,ASIAN,True,CLASSIFIED,0.09407432206226894,RANGE,True,True,SWEEP,ENTRY_2,SHORT,SWEEP_ENTRY_SPEC_BLOCKED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_CALCULATED,3,2022-10-06T00:45:00+00:00,HIGH,1.13802,1.13833,1.13629
SESSION_FLOW_V2_SIMPLE,2.1-simple,GBPUSD,2022-10-06,POST_LONDON,LONDON,True,CLASSIFIED,0.29955290611027585,RANGE,True,True,SWEEP,ENTRY_2,SHORT,SWEEP_ENTRY_SPEC_BLOCKED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_CALCULATED,1,2022-10-06T07:15:00+00:00,HIGH,1.13486,1.13555,1.13484
SESSION_FLOW_V2_SIMPLE,2.1-simple,GBPUSD,2022-10-07,POST_ASIAN,ASIAN,True,CLASSIFIED,0.025732666190138042,RANGE,True,True,SWEEP,ENTRY_2,SHORT,SWEEP_ENTRY_SPEC_BLOCKED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_CALCULATED,11,2022-10-07T02:45:00+00:00,HIGH,1.11882,1.11892,1.11821
